РАЗДЕЛ	Метки	Номер	Автор	Название	Комментарий	Серия/цикл	Номер в серии	Папка	Файл
Социально-гуманитарная литература	соц. политика	1288	Халипов В.Ф.	Кратология: наука о власти	Халипов В.Ф. Кратология - наука о власти. Монография. Рос. Муниц. Академия. М., Экономика. 2002. 36			hum	халипов в.ф._кратология - наука о власти#00Km.zip
Социально-гуманитарная литература	соц. политика	1289	Хаусхофер К.	О геополитике: Работы разных лет.				hum	хаусхофер к._о геополитике#00Kn.zip
Социально-гуманитарная литература	соц. политика	1290	Хинштейн А.Е.	Ельцин. Кремль. История болезни				hum	хинштейн а.е._ельцин. кремль. история болезни#00Ko.zip
Социально-гуманитарная литература	соц. политика	1291	Хлебников П.	Крестный отец Кремля Борис Березовский				hum	хлебников п._крестный отец кремля борис березовский#00Kp.zip
Социально-гуманитарная литература	соц. политика	1292	ЦЫГАНКОВ П.А.	МЕЖДУНАРОДНЫЕ отношения	Цыганков П.А. Ц 96 Международные отношения: Учебное пособие. М.: Новая школа, 1996. 320 с. ISBN 5-7301-0281-10			hum	цыганков п.а._международные отношения#00Kq.zip
Социально-гуманитарная литература	соц. политика	1293	Чернавский М.Ю.	ПОЛИТОЛОГИЯ	ПОЛИТОЛОГИЯ: Учебно-методическое пособие/ Гуманитарно-социальный институт. Автор кандидат философских наук, доцент М.Ю.Чернавский. М.,2003.			hum	чернавский м.ю._политология#00Kr.zip
Социально-гуманитарная литература	соц. политика	1294	Шарп Дж.	ОТ ДИКТАТУРЫ К ДЕМОКРАТИИ: Концептуальные основы освобождения				hum	шарп дж._от диктатуры к демократии - концептуальные основы освобождения#00Ks.zip
Социально-гуманитарная литература	соц. политика	1295	Шахак И.	ЕВРЕЙСКАЯ ИСТОРИЯ, ЕВРЕЙСКАЯ РЕЛИГИЯ: ТЯЖЕСТЬ ТРЕХ ТЫСЯЧЕЛЕТИЙ				hum	шахак и._еврейская история, еврейская религия - тяжесть трех тысячелетий#00Kt.zip
Социально-гуманитарная литература	соц. политика	1296	Яковлев А.Н.	От Трумэна до Рейгана. Доктрины и реальности ядерного века	"<От Трумэна до Рейгана. Доктрины и реальности ядерного века Издание второе, дополненное и доработанное>: <МОЛОДАЯ ГВАРДИЯ>; Москва; 1985"			hum	яковлев а.н._от трумэна до рейгана. доктрины и реальности ядерного века#00Ku.zip
Социально-гуманитарная литература	соц. психология	1297		Политическая психология: Сборник статей (ч. 1)				hum	политическая психология. ч. 1#00Kv.zip
Социально-гуманитарная литература	соц. психология	1298		Политическая психология: Сборник статей (ч. 2)				hum	политическая психология. ч. 2#00Kw.zip
Социально-гуманитарная литература	соц. психология	1299		Политическая психология: Учебное пособие для вузов	/ Под общей ред. А.А. Деркача, В.И. Жукова, Л.Г. Лаптева			hum	политическая психология#00Kx.zip
Социально-гуманитарная литература	соц. психология	1300		Социальная психология				hum	социальная психология#00Ky.zip
Социально-гуманитарная литература	соц. психология	1301	Андреева Г.М., Богомолова Н.Н., Петровская Л.А.	СОВРЕМЕННАЯ СОЦИАЛЬНАЯ ПСИХОЛОГИЯ НА ЗАПАДЕ	E:\bon\mylib\files1\1Андреева Г.М., Богомолова Н.Н., Петровская Л.А. СОВРЕМЕННАЯ СОЦИАЛЬНАЯ ПСИХОЛОГИЯ НА ЗАПАДЕ.lnk			hum	современная социальная психология на западе#00Kz.zip
Социально-гуманитарная литература	соц. психология	1302	Грачев Г.В.	Информационно-психологическая безопасность личности: состояние и возможности психологической защиты				hum	грачев г.в._информационно-психологическая безопасность личности#00L0.zip
Социально-гуманитарная литература	соц. психология	1303	Грачев Г.В., Мельник И.	МАНИПУЛИРОВАНИЕ ЛИЧНОСТЬЮ: Организация, способы и технологии информационно-психологического воздействия				hum	манипулирование личностью#00L1.zip
Социально-гуманитарная литература	соц. психология	1304	Даниленко О.И.	Пособие по социальной психологии	E:\bon\mylib\files1\1Даниленко О.И. Пособие по социальной психологии.lnk			hum	даниленко о.и._пособие по социальной психологии#00L2.zip
